artista,pais_de_origen,area_de_origen,fecha_nacimiento,fecha_inicio_actividad,fecha_fin_actividad
MAN WITH A MISSION,Japan,Tokyo,NULL,2010-03-07,Actualidad
Abäk,Costa Rica,NULL,NULL,2018,Actualidad
El Arrebato,Spain,Alcalá de Guadaíra,1969-09-01,NULL,Actualidad
Billy Ocean,United Kingdom,Siparia,1950-01-21,NULL,Actualidad
FERNANDOCOSTA,Spain,Ibiza,NULL,NULL,Actualidad
Lee Brice,United States,Sumter,1979-06-10,NULL,Actualidad
Jason Kolàr,NULL,NULL,NULL,NULL,Actualidad
Ozzy Osbourne,Los Angeles,Aston,1948-12-03,NULL,Actualidad
Simple Plan,Canada,Montréal,NULL,1999,Actualidad
Leiva,Spain,Madrid,1980-04-28,NULL,Actualidad
Pablo de Sarasate,Spain,Pamplona,1844-03-10,NULL,1908-09-28
Randy Newman,United States,Los Angeles,1943-11-28,NULL,Actualidad
Badflower,Los Angeles,NULL,NULL,2013,Actualidad
Zetazen,Spain,NULL,NULL,NULL,Actualidad
Abdiel,NULL,NULL,NULL,NULL,Actualidad
HEALTH,United States,Los Angeles,NULL,2005-04,Actualidad
Javiielo,NULL,NULL,NULL,NULL,Actualidad
Crisix,Spain,Catalunya,NULL,2008-02,Actualidad
The Beths,New Zealand,Auckland,NULL,2015,Actualidad
Jotaerre,NULL,NULL,NULL,NULL,Actualidad
Brandi Carlile,United States,Ravensdale,1981-06-01,NULL,Actualidad
Elvis Presley,United States,Tupelo,1935-01-08,NULL,1977-08-16
Yeruza,NULL,NULL,NULL,NULL,Actualidad
J Álvarez,Puerto Rico,Río Piedras,1983-12-13,NULL,Actualidad
Lyanno,Puerto Rico,NULL,1996,NULL,Actualidad
Guts,France,Paris,NULL,NULL,Actualidad
Nosaj Thing,United States,Los Angeles,1985-01-27,NULL,Actualidad
Houndmouth,United States,New Albany,NULL,2011,Actualidad
Andy Williams,United States,Wall Lake,1927-12-03,NULL,2012-09-25
SBTRKT,United Kingdom,London,NULL,NULL,Actualidad
G. G. Anderson,Germany,Eschwege,1949-12-04,NULL,Actualidad
Department of Dance,NULL,NULL,NULL,NULL,Actualidad
Carolina Durante,Spain,Madrid,NULL,2017,Actualidad
Miranda!,Argentina,Buenos Aires,NULL,2001-07-27,Actualidad
We Came as Romans,United States,Troy,NULL,2005,Actualidad
Vetusta Morla,Spain,Tres Cantos,NULL,1998,Actualidad
